Video ID,Title,Duration,Views,Captioned,ASR Languages,Edited Languages
m2rCpXnyCnY,Overlaying a Record,00:02:31,184,true,en,en
8ccPVkzMSOo,Sinopia Middleware Demo; Early Fall 2021 Work Cycle,00:09:01,122,false,en,""
uih5JuQnYuo,IIIF drag &#39;n drop features in Stanford University Library online catalog,00:00:49,3304,false,"",""
SFHwqC47UwA,How To Search for Orders in FOLIO,00:05:11,46,true,en,en
OvnG-GgHm64,Embed Viewer Sprint 2,00:03:46,10,false,en,""
eAZLMOYuRLA,"Depositing from Stanford&#39;s Oak, Sherlock and GDrive to the Stanford Digital Repository using Globus",00:01:24,57,true,en,en-US
p-jI5hMaBwY,Display Setup in OCLC Connexion Client (Stanford FOLIO Training),00:14:23,274,true,en,en
es683qD_K8Y,Support for complex data deposits to the Stanford Digital Repository,00:01:37,107,true,en,en
mOEk1TlpPVQ,SearchWorks Fall 2018 IIIF Demo,00:01:50,13,false,en,""
JIKq1Sz7uSg,Mirador 3  - Stanford viewer  - Navigation basics tutorial,00:05:05,415,true,en,en
ZyJ2wzzzunc,Spotlight - Exhibit Request Demo,00:01:35,407,false,en,""
bE0yPgSS34Y,FOLIO  Advanced Inventory training with Charlotte Whitt,01:40:56,130,false,en,""
jBrwenQYoeU,Sinopia Sprint 6 Demo,00:02:01,40,false,en,""
HSwc61ATaj8,"Export, Edit, Import",00:05:41,221,true,en,en
qPJtgajJ4ic,How to create a new exhibit with Spotlight,00:08:05,2914,false,en,""
sR5ejVLCDOc,Inventory app search basics,01:01:50,326,true,en,en
UD57tM3HRZM,Sinopia Middleware Final Work Cycle Demo: Symphony integration and FOLIO integration (Sinolio),00:05:17,341,false,en,""
8uqf8NqnUbE,Sinopia Sprint 13 Demo,00:02:57,47,false,en,""
2wD6FqNFGTk,Presentation Demo Sprint 7,00:05:21,195,false,en,""
AUmbQtWLHGg,GeoBlacklight Feature Demo 0 4 1,00:16:01,312,false,en,""
ZyJ2wzzzunc,Spotlight - Exhibit Request Demo,00:01:35,407,false,en,""
ZEDDpLQvBdM,Mirador 3 - Stanford viewer - Searching textual objects tutorial,00:05:18,449,true,"",en
